Date : 2021-03-01 20:23:53
Directory : c:\Users\Jaisal Shah\Desktop\Projects\flutter-front
Total : 49 files,  2286 codes, 118 comments, 183 blanks, all 2587 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| gssuite\android\gradle\wrapper                                                                                            |          1 |          5 |          1 |          1 |          7 |
| gssuite\ios                                                                                                               |          7 |        222 |          2 |          9 |        233 |
| gssuite\ios\Runner                                                                                                        |          7 |        222 |          2 |          9 |        233 |
| gssuite\ios\Runner\Assets.xcassets                                                                                        |          3 |        148 |          0 |          4 |        152 |
| gssuite\ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                     |          1 |        122 |          0 |          1 |        123 |
| gssuite\ios\Runner\Assets.xcassets\LaunchImage.imageset                                                                   |          2 |         26 |          0 |          3 |         29 |
| gssuite\ios\Runner\Base.lproj                                                                                             |          2 |         61 |          2 |          2 |         65 |
| gssuite\lib                                                                                                               |         22 |      1,652 |         24 |        107 |      1,783 |
| gssuite\lib\Components                                                                                                    |         15 |      1,500 |          5 |         83 |      1,588 |
| gssuite\lib\Components\AdvancedOptions                                                                                    |          1 |        118 |          0 |          2 |        120 |
| gssuite\lib\Components\Classroom                                                                                          |          1 |         21 |          0 |          3 |         24 |
| gssuite\lib\Components\Create Class                                                                                       |          3 |        242 |          0 |         18 |        260 |
| gssuite\lib\Components\Dashboard                                                                                          |          3 |        191 |          0 |         14 |        205 |
| gssuite\lib\Components\Drawer Component                                                                                   |          1 |         81 |          0 |          4 |         85 |
| gssuite\lib\Components\Login_Screen                                                                                       |          3 |        413 |          5 |         25 |        443 |
| gssuite\lib\Components\Register_Screen                                                                                    |          2 |        424 |          0 |         15 |        439 |
| gssuite\lib\Components\Report Bug                                                                                         |          1 |         10 |          0 |          2 |         12 |
| gssuite\lib\apis                                                                                                          |          1 |          3 |          1 |          3 |          7 |
| gssuite\lib\modal                                                                                                         |          1 |         32 |         12 |         12 |         56 |
| gssuite\lib\utils                                                                                                         |          4 |         56 |          0 |          5 |         61 |
| gssuite\test                                                                                                              |          1 |         14 |         10 |          7 |         31 |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                  | language   | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\Jaisal Shah\Desktop\Projects\flutter-front\.github\dependabot.yml                                                | YAML       |          6 |          4 |          3 |         13 |
| c:\Users\Jaisal Shah\Desktop\Projects\flutter-front\.idea\codeStyles\Project.xml                                          | XML        |        116 |          0 |          0 |        116 |
| c:\Users\Jaisal Shah\Desktop\Projects\flutter-front\.idea\flutter-front.iml                                               | XML        |         12 |          0 |          0 |         12 |
| c:\Users\Jaisal Shah\Desktop\Projects\flutter-front\.idea\modules.xml                                                     | XML        |          8 |          0 |          0 |          8 |
| c:\Users\Jaisal Shah\Desktop\Projects\flutter-front\.idea\vcs.xml                                                         | XML        |          6 |          0 |          0 |          6 |
| c:\Users\Jaisal Shah\Desktop\Projects\flutter-front\.idea\workspace.xml                                                   | XML        |         55 |          0 |          0 |         55 |
| c:\Users\Jaisal Shah\Desktop\Projects\flutter-front\README.md                                                             | Markdown   |          3 |          0 |          3 |          6 |
| c:\Users\Jaisal Shah\Desktop\Projects\flutter-front\gssuite\README.md                                                     | Markdown   |         10 |          0 |          7 |         17 |
| c:\Users\Jaisal Shah\Desktop\Projects\flutter-front\gssuite\android\app\build.gradle                                      | Groovy     |         49 |          3 |         12 |         64 |
| c:\Users\Jaisal Shah\Desktop\Projects\flutter-front\gssuite\android\app\src\debug\AndroidManifest.xml                     | XML        |          4 |          3 |          1 |          8 |
| c:\Users\Jaisal Shah\Desktop\Projects\flutter-front\gssuite\android\app\src\main\AndroidManifest.xml                      | XML        |         31 |         16 |          1 |         48 |
| c:\Users\Jaisal Shah\Desktop\Projects\flutter-front\gssuite\android\app\src\main\res\drawable\launch_background.xml       | XML        |          4 |          7 |          2 |         13 |
| c:\Users\Jaisal Shah\Desktop\Projects\flutter-front\gssuite\android\app\src\main\res\values\styles.xml                    | XML        |          9 |          9 |          1 |         19 |
| c:\Users\Jaisal Shah\Desktop\Projects\flutter-front\gssuite\android\app\src\profile\AndroidManifest.xml                   | XML        |          4 |          3 |          1 |          8 |
| c:\Users\Jaisal Shah\Desktop\Projects\flutter-front\gssuite\android\build.gradle                                          | Groovy     |         27 |          0 |          6 |         33 |
| c:\Users\Jaisal Shah\Desktop\Projects\flutter-front\gssuite\android\gradle.properties                                     | Properties |          4 |          0 |          1 |          5 |
| c:\Users\Jaisal Shah\Desktop\Projects\flutter-front\gssuite\android\gradle\wrapper\gradle-wrapper.properties              | Properties |          5 |          1 |          1 |          7 |
| c:\Users\Jaisal Shah\Desktop\Projects\flutter-front\gssuite\android\settings.gradle                                       | Groovy     |          8 |          0 |          4 |         12 |
| c:\Users\Jaisal Shah\Desktop\Projects\flutter-front\gssuite\ios\Runner\AppDelegate.swift                                  | Swift      |         12 |          0 |          2 |         14 |
| c:\Users\Jaisal Shah\Desktop\Projects\flutter-front\gssuite\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json   | JSON       |        122 |          0 |          1 |        123 |
| c:\Users\Jaisal Shah\Desktop\Projects\flutter-front\gssuite\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json | JSON       |         23 |          0 |          1 |         24 |
| c:\Users\Jaisal Shah\Desktop\Projects\flutter-front\gssuite\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md     | Markdown   |          3 |          0 |          2 |          5 |
| c:\Users\Jaisal Shah\Desktop\Projects\flutter-front\gssuite\ios\Runner\Base.lproj\LaunchScreen.storyboard                 | XML        |         36 |          1 |          1 |         38 |
| c:\Users\Jaisal Shah\Desktop\Projects\flutter-front\gssuite\ios\Runner\Base.lproj\Main.storyboard                         | XML        |         25 |          1 |          1 |         27 |
| c:\Users\Jaisal Shah\Desktop\Projects\flutter-front\gssuite\ios\Runner\Runner-Bridging-Header.h                           | C++        |          1 |          0 |          1 |          2 |
| c:\Users\Jaisal Shah\Desktop\Projects\flutter-front\gssuite\lib\Components\AdvancedOptions\advanced_options.dart          | Dart       |        118 |          0 |          2 |        120 |
| c:\Users\Jaisal Shah\Desktop\Projects\flutter-front\gssuite\lib\Components\Classroom\ClassroomPanel.dart                  | Dart       |         21 |          0 |          3 |         24 |
| c:\Users\Jaisal Shah\Desktop\Projects\flutter-front\gssuite\lib\Components\Create Class\createClassForm.dart              | Dart       |        103 |          0 |          9 |        112 |
| c:\Users\Jaisal Shah\Desktop\Projects\flutter-front\gssuite\lib\Components\Create Class\createClassTitle.dart             | Dart       |         44 |          0 |          2 |         46 |
| c:\Users\Jaisal Shah\Desktop\Projects\flutter-front\gssuite\lib\Components\Create Class\create_class_form.dart            | Dart       |         95 |          0 |          7 |        102 |
| c:\Users\Jaisal Shah\Desktop\Projects\flutter-front\gssuite\lib\Components\Dashboard\channelList_Component.dart           | Dart       |         36 |          0 |          2 |         38 |
| c:\Users\Jaisal Shah\Desktop\Projects\flutter-front\gssuite\lib\Components\Dashboard\dashboard.dart                       | Dart       |        117 |          0 |          9 |        126 |
| c:\Users\Jaisal Shah\Desktop\Projects\flutter-front\gssuite\lib\Components\Dashboard\subscription_Component.dart          | Dart       |         38 |          0 |          3 |         41 |
| c:\Users\Jaisal Shah\Desktop\Projects\flutter-front\gssuite\lib\Components\Drawer Component\drawer.dart                   | Dart       |         81 |          0 |          4 |         85 |
| c:\Users\Jaisal Shah\Desktop\Projects\flutter-front\gssuite\lib\Components\Login_Screen\TextField_Component.dart          | Dart       |        306 |          1 |         13 |        320 |
| c:\Users\Jaisal Shah\Desktop\Projects\flutter-front\gssuite\lib\Components\Login_Screen\TitleComponent.dart               | Dart       |         44 |          0 |          2 |         46 |
| c:\Users\Jaisal Shah\Desktop\Projects\flutter-front\gssuite\lib\Components\Login_Screen\login.dart                        | Dart       |         63 |          4 |         10 |         77 |
| c:\Users\Jaisal Shah\Desktop\Projects\flutter-front\gssuite\lib\Components\Register_Screen\TextField_Component.dart       | Dart       |        396 |          0 |         10 |        406 |
| c:\Users\Jaisal Shah\Desktop\Projects\flutter-front\gssuite\lib\Components\Register_Screen\register.dart                  | Dart       |         28 |          0 |          5 |         33 |
| c:\Users\Jaisal Shah\Desktop\Projects\flutter-front\gssuite\lib\Components\Report Bug\mailto.dart                         | Dart       |         10 |          0 |          2 |         12 |
| c:\Users\Jaisal Shah\Desktop\Projects\flutter-front\gssuite\lib\apis\api.dart                                             | Dart       |          3 |          1 |          3 |          7 |
| c:\Users\Jaisal Shah\Desktop\Projects\flutter-front\gssuite\lib\main.dart                                                 | Dart       |         61 |          6 |          4 |         71 |
| c:\Users\Jaisal Shah\Desktop\Projects\flutter-front\gssuite\lib\modal\User.dart                                           | Dart       |         32 |         12 |         12 |         56 |
| c:\Users\Jaisal Shah\Desktop\Projects\flutter-front\gssuite\lib\utils\FlashMessages.dart                                  | Dart       |         33 |          0 |          2 |         35 |
| c:\Users\Jaisal Shah\Desktop\Projects\flutter-front\gssuite\lib\utils\TnC.dart                                            | Dart       |          3 |          0 |          1 |          4 |
| c:\Users\Jaisal Shah\Desktop\Projects\flutter-front\gssuite\lib\utils\regEx.dart                                          | Dart       |          6 |          0 |          1 |          7 |
| c:\Users\Jaisal Shah\Desktop\Projects\flutter-front\gssuite\lib\utils\vernamCreds.dart                                    | Dart       |         14 |          0 |          1 |         15 |
| c:\Users\Jaisal Shah\Desktop\Projects\flutter-front\gssuite\pubspec.yaml                                                  | YAML       |         37 |         36 |         17 |         90 |
| c:\Users\Jaisal Shah\Desktop\Projects\flutter-front\gssuite\test\widget_test.dart                                         | Dart       |         14 |         10 |          7 |         31 |
| Total                                                                                                                     |            |      2,286 |        118 |        183 |      2,587 |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
