Date : 2021-04-06 00:43:24
Directory : c:\Users\Jaisal Shah\Desktop\flutter-front
Total : 76 files,  6320 codes, 166 comments, 416 blanks, all 6902 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| gssuite\lib\Components\Register_Screen                                                                                              |          2 |        425 |          0 |         15 |        440 |
| gssuite\lib\Components\Report Bug                                                                                                   |          1 |         10 |          0 |          2 |         12 |
| gssuite\lib\apis                                                                                                                    |          1 |         35 |          0 |         24 |         59 |
| gssuite\lib\modal                                                                                                                   |          5 |        221 |          2 |         40 |        263 |
| gssuite\lib\utils                                                                                                                   |          6 |        147 |          6 |         17 |        170 |
| gssuite\test                                                                                                                        |          1 |         14 |         10 |          7 |         31 |
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                            | language   | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\Jaisal Shah\Desktop\flutter-front\.github\dependabot.yml                                                                   | YAML       |          6 |          4 |          3 |         13 |
| c:\Users\Jaisal Shah\Desktop\flutter-front\.idea\codeStyles\Project.xml                                                             | XML        |        116 |          0 |          0 |        116 |
| c:\Users\Jaisal Shah\Desktop\flutter-front\.idea\flutter-front.iml                                                                  | XML        |         12 |          0 |          0 |         12 |
| c:\Users\Jaisal Shah\Desktop\flutter-front\.idea\modules.xml                                                                        | XML        |          8 |          0 |          0 |          8 |
| c:\Users\Jaisal Shah\Desktop\flutter-front\.idea\vcs.xml                                                                            | XML        |          6 |          0 |          0 |          6 |
| c:\Users\Jaisal Shah\Desktop\flutter-front\.idea\workspace.xml                                                                      | XML        |         59 |          0 |          0 |         59 |
| c:\Users\Jaisal Shah\Desktop\flutter-front\README.md                                                                                | Markdown   |          3 |          0 |          3 |          6 |
| c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\README.md                                                                        | Markdown   |         10 |          0 |          7 |         17 |
| c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\android\app\build.gradle                                                         | Groovy     |         49 |          3 |         12 |         64 |
| c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\android\app\src\debug\AndroidManifest.xml                                        | XML        |          4 |          3 |          1 |          8 |
| c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\android\app\src\main\AndroidManifest.xml                                         | XML        |         31 |         16 |          1 |         48 |
| c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\android\app\src\main\res\drawable\launch_background.xml                          | XML        |          4 |          7 |          2 |         13 |
| c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\android\app\src\main\res\values\styles.xml                                       | XML        |          9 |          9 |          1 |         19 |
| c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\android\app\src\profile\AndroidManifest.xml                                      | XML        |          4 |          3 |          1 |          8 |
| c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\android\build.gradle                                                             | Groovy     |         27 |          0 |          6 |         33 |
| c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\android\gradle.properties                                                        | Properties |          4 |          0 |          1 |          5 |
| c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\android\gradle\wrapper\gradle-wrapper.properties                                 | Properties |          5 |          1 |          1 |          7 |
| c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\android\settings.gradle                                                          | Groovy     |          8 |          0 |          4 |         12 |
| c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\ios\Runner\AppDelegate.swift                                                     | Swift      |         12 |          0 |          2 |         14 |
| c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json                      | JSON       |        122 |          0 |          1 |        123 |
| c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json                    | JSON       |         23 |          0 |          1 |         24 |
| c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md                        | Markdown   |          3 |          0 |          2 |          5 |
| c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\ios\Runner\Base.lproj\LaunchScreen.storyboard                                    | XML        |         36 |          1 |          1 |         38 |
| c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\ios\Runner\Base.lproj\Main.storyboard                                            | XML        |         25 |          1 |          1 |         27 |
| c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\ios\Runner\Runner-Bridging-Header.h                                              | C++        |          1 |          0 |          1 |          2 |
| c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\Components\AdvancedOptions\advanced_options.dart                             | Dart       |        118 |          0 |          2 |        120 |
| c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\Components\Classroom\EnrollClassrooms\Attendance\Attendance.dart             | Dart       |        189 |          0 |          9 |        198 |
| c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\Components\Classroom\EnrollClassrooms\Attendance\ViewAttendance.dart         | Dart       |        185 |          1 |          7 |        193 |
| c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\Components\Classroom\EnrollClassrooms\ClassroomPanelEnrolled.dart            | Dart       |        181 |          0 |          8 |        189 |
| c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\Components\Classroom\EnrollClassrooms\Feed\Announcement\Announcement.dart    | Dart       |        155 |          3 |          7 |        165 |
| c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\Components\Classroom\EnrollClassrooms\Feed\Feed.dart                         | Dart       |         59 |          1 |          5 |         65 |
| c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\Components\Classroom\EnrollClassrooms\Feed\Lectures\Lecture.dart             | Dart       |        181 |          2 |          8 |        191 |
| c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\Components\Classroom\EnrollClassrooms\Feed\Playlist\Playlist.dart            | Dart       |         15 |          0 |          5 |         20 |
| c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\Components\Classroom\EnrollClassrooms\Forums\Forums.dart                     | Dart       |        230 |          1 |         11 |        242 |
| c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\Components\Classroom\UserClassrooms\Attendance\Attendance.dart               | Dart       |        171 |          0 |         10 |        181 |
| c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\Components\Classroom\UserClassrooms\Attendance\ViewAttendance.dart           | Dart       |        196 |          1 |          8 |        205 |
| c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\Components\Classroom\UserClassrooms\Attendance\ViewSTudentAttendance.dart    | Dart       |         54 |          0 |          4 |         58 |
| c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\Components\Classroom\UserClassrooms\ClassroomPanel.dart                      | Dart       |        187 |          0 |          8 |        195 |
| c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\Components\Classroom\UserClassrooms\Feed\Announcement\AddAnnouncement.dart   | Dart       |        221 |         14 |          9 |        244 |
| c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\Components\Classroom\UserClassrooms\Feed\Announcement\Announcement.dart      | Dart       |        163 |          1 |          8 |        172 |
| c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\Components\Classroom\UserClassrooms\Feed\Feed.dart                           | Dart       |         59 |          1 |          6 |         66 |
| c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\Components\Classroom\UserClassrooms\Feed\Lectures\AddLecture\AddLecture.dart | Dart       |        207 |          3 |          8 |        218 |
| c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\Components\Classroom\UserClassrooms\Feed\Lectures\Lecture.dart               | Dart       |        191 |          2 |          8 |        201 |
| c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\Components\Classroom\UserClassrooms\Feed\Playlist\Playlist.dart              | Dart       |         13 |          0 |          3 |         16 |
| c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\Components\Classroom\UserClassrooms\Forums\Forums.dart                       | Dart       |        247 |          1 |         11 |        259 |
| c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\Components\Classroom\UserClassrooms\StudentsEnrolled.dart                    | Dart       |        166 |          1 |          7 |        174 |
| c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\Components\Create Class\createClassForm.dart                                 | Dart       |        178 |          8 |         13 |        199 |
| c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\Components\Create Class\createClassTitle.dart                                | Dart       |         44 |          0 |          2 |         46 |
| c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\Components\Create Class\create_class_form.dart                               | Dart       |         95 |          0 |          7 |        102 |
| c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\Components\Dashboard\channelList_Component.dart                              | Dart       |        202 |          1 |          5 |        208 |
| c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\Components\Dashboard\dashboard.dart                                          | Dart       |        301 |          7 |         11 |        319 |
| c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\Components\Dashboard\subscription_Component.dart                             | Dart       |         37 |          0 |          3 |         40 |
| c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\Components\Drawer Component\drawer.dart                                      | Dart       |         77 |          0 |          4 |         81 |
| c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\Components\Join Class\joinClassForm.dart                                     | Dart       |        170 |          5 |         14 |        189 |
| c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\Components\Join Class\joinClassTitle.dart                                    | Dart       |         44 |          0 |          2 |         46 |
| c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\Components\Login_Screen\TextField_Component.dart                             | Dart       |        323 |          1 |         14 |        338 |
| c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\Components\Login_Screen\TitleComponent.dart                                  | Dart       |         44 |          0 |          2 |         46 |
| c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\Components\Login_Screen\login.dart                                           | Dart       |         63 |          4 |         10 |         77 |
| c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\Components\Register_Screen\TextField_Component.dart                          | Dart       |        397 |          0 |         10 |        407 |
| c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\Components\Register_Screen\register.dart                                     | Dart       |         28 |          0 |          5 |         33 |
| c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\Components\Report Bug\mailto.dart                                            | Dart       |         10 |          0 |          2 |         12 |
| c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\apis\api.dart                                                                | Dart       |         35 |          0 |         24 |         59 |
| c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\main.dart                                                                    | Dart       |         72 |          6 |          6 |         84 |
| c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\modal\ClassroomDetails.dart                                                  | Dart       |         41 |          0 |          8 |         49 |
| c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\modal\Classrooms.dart                                                        | Dart       |         38 |          0 |          8 |         46 |
| c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\modal\JoinCode.dart                                                          | Dart       |         44 |          0 |          8 |         52 |
| c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\modal\User.dart                                                              | Dart       |         18 |          0 |          4 |         22 |
| c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\modal\lectures.dart                                                          | Dart       |         80 |          2 |         12 |         94 |
| c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\utils\FlashMessages.dart                                                     | Dart       |         33 |          0 |          2 |         35 |
| c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\utils\TnC.dart                                                               | Dart       |          3 |          0 |          1 |          4 |
| c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\utils\fetch_preview.dart                                                     | Dart       |         54 |          6 |         10 |         70 |
| c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\utils\refreshToken.dart                                                      | Dart       |         12 |          0 |          2 |         14 |
| c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\utils\regEx.dart                                                             | Dart       |          7 |          0 |          1 |          8 |
| c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\lib\utils\vernamCreds.dart                                                       | Dart       |         38 |          0 |          1 |         39 |
| c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\pubspec.yaml                                                                     | YAML       |         43 |         36 |         14 |         93 |
| c:\Users\Jaisal Shah\Desktop\flutter-front\gssuite\test\widget_test.dart                                                            | Dart       |         14 |         10 |          7 |         31 |
| Total                                                                                                                               |            |      6,320 |        166 |        416 |      6,902 |
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
