Date : 2021-04-06 00:43:24
Directory : c:\Users\Jaisal Shah\Desktop\flutter-front
Total : 76 files,  6320 codes, 166 comments, 416 blanks, all 6902 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         50 |      5,690 |         82 |        350 |      6,122 |
| XML        |         12 |        314 |         40 |          8 |        362 |
| JSON       |          2 |        145 |          0 |          2 |        147 |
| Groovy     |          3 |         84 |          3 |         22 |        109 |
| YAML       |          2 |         49 |         40 |         17 |        106 |
| Markdown   |          3 |         16 |          0 |         12 |         28 |
| Swift      |          1 |         12 |          0 |          2 |         14 |
| Properties |          2 |          9 |          1 |          2 |         12 |
| C++        |          1 |          1 |          0 |          1 |          2 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                   |         76 |      6,320 |        166 |        416 |      6,902 |
| .github                                                                                                                             |          1 |          6 |          4 |          3 |         13 |
| .idea                                                                                                                               |          5 |        201 |          0 |          0 |        201 |
| .idea\codeStyles                                                                                                                    |          1 |        116 |          0 |          0 |        116 |
| gssuite                                                                                                                             |         69 |      6,110 |        162 |        410 |      6,682 |
| gssuite\android                                                                                                                     |         10 |        145 |         42 |         30 |        217 |
| gssuite\android\app                                                                                                                 |          6 |        101 |         41 |         18 |        160 |
| gssuite\android\app\src                                                                                                             |          5 |         52 |         38 |          6 |         96 |
| gssuite\android\app\src\debug                                                                                                       |          1 |          4 |          3 |          1 |          8 |
| gssuite\android\app\src\main                                                                                                        |          3 |         44 |         32 |          4 |         80 |
| gssuite\android\app\src\main\res                                                                                                    |          2 |         13 |         16 |          3 |         32 |
| gssuite\android\app\src\main\res\drawable                                                                                           |          1 |          4 |          7 |          2 |         13 |
| gssuite\android\app\src\main\res\values                                                                                             |          1 |          9 |          9 |          1 |         19 |
| gssuite\android\app\src\profile                                                                                                     |          1 |          4 |          3 |          1 |          8 |
| gssuite\android\gradle                                                                                                              |          1 |          5 |          1 |          1 |          7 |
| gssuite\android\gradle\wrapper                                                                                                      |          1 |          5 |          1 |          1 |          7 |
| gssuite\ios                                                                                                                         |          7 |        222 |          2 |          9 |        233 |
| gssuite\ios\Runner                                                                                                                  |          7 |        222 |          2 |          9 |        233 |
| gssuite\ios\Runner\Assets.xcassets                                                                                                  |          3 |        148 |          0 |          4 |        152 |
| gssuite\ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                               |          1 |        122 |          0 |          1 |        123 |
| gssuite\ios\Runner\Assets.xcassets\LaunchImage.imageset                                                                             |          2 |         26 |          0 |          3 |         29 |
| gssuite\ios\Runner\Base.lproj                                                                                                       |          2 |         61 |          2 |          2 |         65 |
| gssuite\lib                                                                                                                         |         49 |      5,676 |         72 |        343 |      6,091 |
| gssuite\lib\Components                                                                                                              |         36 |      5,201 |         58 |        256 |      5,515 |
| gssuite\lib\Components\AdvancedOptions                                                                                              |          1 |        118 |          0 |          2 |        120 |
| gssuite\lib\Components\Classroom                                                                                                    |         20 |      3,070 |         32 |        150 |      3,252 |
| gssuite\lib\Components\Classroom\EnrollClassrooms                                                                                   |          8 |      1,195 |          8 |         60 |      1,263 |
| gssuite\lib\Components\Classroom\EnrollClassrooms\Attendance                                                                        |          2 |        374 |          1 |         16 |        391 |
| gssuite\lib\Components\Classroom\EnrollClassrooms\Feed                                                                              |          4 |        410 |          6 |         25 |        441 |
| gssuite\lib\Components\Classroom\EnrollClassrooms\Feed\Announcement                                                                 |          1 |        155 |          3 |          7 |        165 |
| gssuite\lib\Components\Classroom\EnrollClassrooms\Feed\Lectures                                                                     |          1 |        181 |          2 |          8 |        191 |
| gssuite\lib\Components\Classroom\EnrollClassrooms\Feed\Playlist                                                                     |          1 |         15 |          0 |          5 |         20 |
| gssuite\lib\Components\Classroom\EnrollClassrooms\Forums                                                                            |          1 |        230 |          1 |         11 |        242 |
| gssuite\lib\Components\Classroom\UserClassrooms                                                                                     |         12 |      1,875 |         24 |         90 |      1,989 |
| gssuite\lib\Components\Classroom\UserClassrooms\Attendance                                                                          |          3 |        421 |          1 |         22 |        444 |
| gssuite\lib\Components\Classroom\UserClassrooms\Feed                                                                                |          6 |        854 |         21 |         42 |        917 |
| gssuite\lib\Components\Classroom\UserClassrooms\Feed\Announcement                                                                   |          2 |        384 |         15 |         17 |        416 |
| gssuite\lib\Components\Classroom\UserClassrooms\Feed\Lectures                                                                       |          2 |        398 |          5 |         16 |        419 |
| gssuite\lib\Components\Classroom\UserClassrooms\Feed\Lectures\AddLecture                                                            |          1 |        207 |          3 |          8 |        218 |
| gssuite\lib\Components\Classroom\UserClassrooms\Feed\Playlist                                                                       |          1 |         13 |          0 |          3 |         16 |
| gssuite\lib\Components\Classroom\UserClassrooms\Forums                                                                              |          1 |        247 |          1 |         11 |        259 |
| gssuite\lib\Components\Create Class                                                                                                 |          3 |        317 |          8 |         22 |        347 |
| gssuite\lib\Components\Dashboard                                                                                                    |          3 |        540 |          8 |         19 |        567 |
| gssuite\lib\Components\Drawer Component                                                                                             |          1 |         77 |          0 |          4 |         81 |
| gssuite\lib\Components\Join Class                                                                                                   |          2 |        214 |          5 |         16 |        235 |
| gssuite\lib\Components\Login_Screen                                                                                                 |          3 |        430 |          5 |         26 |        461 |
